zcta,Percent Over 65,Percent Non White,Household Size,Household 65+,Income,Covid Infection Rate,Covid Death Rate,Overcrowding,Eviction Rates,Population,Unemployment Rate 2019,Percent Commuting,Percent Worked From Home,Occupation: Management,Occupation: Service,Occupation: Sales,Occupation: Construction,Occupation: Transportation,Health Insurance Coverage,Percent Below Poverty,County,Unemployment 2020 (Projected)
10460,8.5,0.753,2.88,21.3,33282.0,3241.04,216.4,0.06588121532902437,0.009034436281869071,59432,7.7,64.4,3.1,18.1,39.8,22.0,6.5,13.7,0.91,32.9,Bronx,21.24137931034483
10461,15.0,0.408,2.44,28.0,68066.0,4131.0,284.97,0.048133282364933735,0.004721596468473388,49690,4.6,45.7,2.6,35.4,25.3,21.7,8.4,9.3,0.93,14.0,Bronx,12.689655172413794
10462,10.3,0.677,2.53,21.2,59538.0,3375.04,239.23,0.06702846805674569,0.006048327379788754,75714,5.7,61.9,2.5,30.1,28.2,22.7,6.0,13.0,0.927,15.3,Bronx,15.724137931034484
10463,17.4,0.487,2.31,29.3,66470.0,3313.35,304.4,0.048212406906937885,0.004444259266974987,71132,4.0,57.2,4.2,43.3,25.0,19.2,4.7,7.8,0.947,13.8,Bronx,11.03448275862069
10464,20.2,0.15,2.16,35.7,132596.0,3147.14,206.75,0.005434782608695652,0.0056306306306306295,4531,3.8,23.5,6.8,41.1,30.2,20.4,5.7,2.7,0.928,4.0,Bronx,10.482758620689655
10465,15.7,0.308,2.57,30.5,95996.0,3815.9,209.15,0.027565286204167767,0.0032205140669623873,43671,3.7,29.5,3.3,36.4,22.0,23.0,9.4,9.2,0.96,10.3,Bronx,10.206896551724139
10466,10.8,0.9,2.87,24.5,67912.0,3706.7,239.72,0.06204980448651986,0.009442318162242105,75039,6.0,47.8,1.8,31.2,30.7,22.1,5.5,10.5,0.919,14.9,Bronx,16.551724137931036
10467,9.9,0.7340000000000001,2.68,20.2,46530.0,3900.42,331.4,0.08286555560390467,0.007331846986151399,101255,7.1,62.6,3.0,24.2,34.0,21.2,9.1,11.4,0.91,22.7,Bronx,19.586206896551726
10468,8.5,0.752,2.98,19.4,41488.0,4214.86,293.42,0.09458684954248107,0.006341236634123663,78881,7.4,69.9,4.0,17.3,41.0,20.2,7.2,14.4,0.893,28.0,Bronx,20.413793103448278
10469,14.3,0.774,2.84,27.1,73973.0,4609.26,516.02,0.05361403932703054,0.006882416396979504,72384,4.7,44.4,1.9,32.7,26.8,22.3,7.7,10.4,0.941,12.9,Bronx,12.965517241379311
10470,14.4,0.515,2.38,27.7,71506.0,3594.79,148.9,0.0391360348756564,0.009764503159103963,15716,3.7,52.6,2.1,40.9,22.7,19.6,8.8,8.0,0.925,9.0,Bronx,10.206896551724139
10471,23.5,0.271,2.14,32.1,114241.0,4174.65,418.88,0.019009692689157708,0.004578061353231679,22422,3.6,43.6,6.8,57.7,13.4,20.5,4.0,4.5,0.961,5.5,Bronx,9.931034482758621
